X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
141;RP AT;Rehab.penger, arbeidstrening;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Rehab.penger, arbeidstrening
142;RP AY;Rehab.penger, avbrudd  yrkesr.;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Rehab.penger, avbrudd  yrkesr.
143;RP RT;Rehab.penger, reisetilskudd;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Rehab.penger, reisetilskudd
144;RP SS;Rehab.penger, syk student;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Rehab.penger, syk student
145;RP MS;Rehab.penger, med sykepengerett;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Rehab.penger, med sykepengerett
146;RP TF;Rehab.penger, tilbakefall;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Rehab.penger, tilbakefall
147;RP US;Rehab.penger, uten sp.rett;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Rehab.penger, uten sp.rett
148;KS EU;Kontantstøtte, utland;Tilbakekreving av feilutbetalt kontantstøtte utland;TILBAKEKREVING_KONTANTSTOETTE_UTLAND;5;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt kontantstøtte utland
149;KS KS;Kontantstøtte;Tilbakekreving av feilutbetalt kontantstøtte;TILBAKEKREVING_KONTANTSTOETTE;2;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt kontantstøtte
150;PE KP;Krigspensjon;Tilbakekreving av feilutbetalt krigspensjon;TILBAKEKREVING_KRIGSPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt krigspensjon
151;PE KS;Krigspensjon, sivil;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Krigspensjon, sivil
152;PE KM;Krigspensjon militær;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Krigspensjon militær
153;PE AP;Alderspensjon;Tilbakekreving av feilutbetalt alderspensjon;TILBAKEKREVING_ALDERSPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt alderspensjon
154;PE AP;Alderspensjon;Tilbakekreving av feilutbetalt alderspensjon - avregning;TILBAKEKREVING_ALDERSPENSJON_AVREGNING;0;Nei;Manuell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt alderspensjon - avregning
155;PE AB;Aldersp., forsørgingst. barn;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Aldersp., forsørgingst. barn
156;PE AE;Aldersp.,forsørgingst.ektefelle;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Aldersp.,forsørgingst.ektefelle
157;SP SP;Sykepenger ;OBS! Benytt KT SP. Ikke eget oppsett;TILBAKEKREVING_SYKEPENGER;2;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (infotrygd fil);OBS! Benytt KT SP. Ikke eget oppsett
158;SP RT;Sykepenger reisetilskudd;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Sykepenger reisetilskudd
159;KT SP;Sykepenger;Tilbakekreving av feilutbetalte sykepenger;TILBAKEKREVING_SYKEPENGER;2;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalte sykepenger
160;SP AV;Tilbakekr. sykepenger fra ag;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekr. sykepenger fra ag
161;PE BP;Barnepensjon;Tilbakekreving av feilutbetalt barnepensjon;TILBAKEKREVING_BARNEPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt barnepensjon
162;PE BB;Barnepensj. ved  foreldres død;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Barnepensj. ved  foreldres død
163;PE BE;Barnepensjon, en foreldres død;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Barnepensjon, en foreldres død
164;SU EV;Supplerende stønad enslig ;Tilbakekreving av feilutbetalt supplerende stønad enslig voksen;TILBAKEKREVING_SUPPLERENDE_STOENAD_ENSLIG_VOKSEN;1;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt supplerende stønad enslig voksen
165;SU EN;Supplerende stønad, til enslig;"Tilbakekreving av feilutbetalt supplerende stønad enslig mindreårig
";TILBAKEKREVING_SUPPLERENDE_STOENAD_ENSLIG_MINDREAARIG;1;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);"Tilbakekreving av feilutbetalt supplerende stønad enslig mindreårig
"
